name,foundingDate
Western Country Clubs          ,1989
Ancor Communication            ,1986
Inhale Therapeutic Systems     ,1990
Joseph A. Bank Clothiers       ,1905
American Publishing            ,1953
Investment Technology Group    ,1994
Jefferson Smurfit              ,1968
Positive Response Television   ,1988
Monroc                         ,1920
Physician Sales & Service      ,1983
Safety Components              ,1994
Ride Snowboard                 ,1992
Clark Automotive Products      ,1982
Financial Security Assurance   ,1985
LXR Biotechnology              ,1992
Boyd Bros. Transportation      ,1956
HERC Products                  ,1986
Java Centrale                  ,1993
VideoLabs                      ,1992
Advocat                        ,1994
Byron Preiss Multimedia        ,1992
Fusion Systems                 ,1971
Maxwell Shoe                   ,1976
Micrion                        ,1983
American Eagle Group           ,1985
US Medical Products            ,1991
Ascend Communications          ,1989
TJ Cinnamons                   ,1985
Bush Boake Allen               ,1962
Atria Software                 ,1990
Creative Medical Development   ,1992
Derma Sciences                 ,1984
MovieFone                      ,1994
"Optex Biomedical, Inc.         ",1984
Radica Games                   ,1993
North American Advanced        ,1987
US Delivery Systems            ,1993
Panda Project                  ,1992
Group Technologies             ,1988
Blyth Industries               ,1933
ABC Bancorp                    ,1981
PDS Financial                  ,1988
Paging Partners                ,1990
Frontier Airlines              ,1994
Ibis Technology                ,1987
Targeted Genetics              ,1989
Fore Systems                   ,1990
Indigo                         ,1977
MedPlus                        ,1991
Cole Taylor Financial Group    ,1934
Merix                          ,1959
Quorum Health Group            ,1989
Simpson Manufacturing          ,1994
Winston Hotels                 ,1988
ABR Information Services       ,1994
Fresh America                  ,1989
Lazer-Tron                     ,1988
Northfield Laboratories        ,1985
NPS Pharmaceuticals            ,1986
Penn National Gaming           ,1982
Mikasa                         ,1985
IPI                            ,1983
Wavefront Technologies         ,1985
Kenneth Cole Productions       ,1982
La Jolla Pharmaceutical        ,1989
Pediatric Services of America  ,1989
Sigma Circuits                 ,1986
Apogee                         ,1991
Woodroast Systems              ,1987
Consolidated Graphics          ,1985
Imax                           ,1967
KBK Capital                    ,1992
MetroTrans                     ,1982
Thermolase                     ,1991
Diametrics Medical             ,1990
CDP Technologies               ,1985
Skysat Communications Network  ,1992
Santa Fe Pacific Gold          ,1983
American Electronic Components ,1982
Manhattan Bagel                ,1987
Coherent Communications        ,1968
Guilford Pharmaceuticals       ,1993
Cinergi Pictures Entertainment ,1992
Geerlings & Wade               ,1986
Model Imperial                 ,1980
MTL                            ,1967
Variflex                       ,1994
Bio-Plexus                     ,1987
Sparta Pharmaceuticals         ,1990
Dominion Resources Black Trust ,1994
Foilmark                       ,1991
UStel                          ,1992
Crop Growers                   ,1989
GeoWorks Inc                   ,1993
Interiors                      ,1990
Marisa Chistina Inc            ,1994
CareerStaff Unlimited          ,1994
Trend-Lines                    ,1981
TheraTx                        ,1989
Case Equipment                 ,1955
Mid-Continent Bancshares       ,1925
Ferrellgas Partners L.P.       ,1939
Vastar Resources               ,1993
Network Peripherals            ,1994
ValuJet Airlines               ,1992
MediSense                      ,1981
Rawlings Sporting Goods        ,1900
Integrity Music                ,1987
Doubletree                     ,1969
Collins & Aikman(NEW)          ,1843
Fluoroscan Imaging Systems     ,1984
Greenbrier                     ,1974
PM Agri-Nutrition              ,1993
American Homestar              ,1971
WCI Steel                      ,1988
Golf Enterprises               ,1981
GeneMedicine                   ,1992
Continental Choice Care        ,1993
Matthews International         ,1902
Video Update                   ,1983
Rock Bottom Restaurants        ,1994
Eagle Finance                  ,1938
FelCor Suite Hotels            ,1994
Interstate National Dealer     ,1991
Happiness Express              ,1989
Innovative Tech Systems        ,1986
Norrell                        ,1961
Wackenhut Corrections          ,1988
Heftel Broadcasting            ,1992
CIMA Labs                      ,1986
Cascade Communications         ,1990
Dorsey Trailers                ,1911
RF Monolithics                 ,1994
RightCHOICE Managed Care       ,1994
Media Arts Group               ,1993
Citation                       ,1975
Miller Industries              ,1994
Movie Gallery                  ,1985
NaPro Bio Therapeutics         ,1993
DIMAC                          ,1921
Spectrian                      ,1984
Silverado Foods                ,1990
SystemSoft                     ,1991
Standard Funding               ,1978
ADTRAN                         ,1985
Polish Telephones              ,1992
Wave Technologies              ,1988
ASV                            ,1983
Fotoball USA                   ,1988
Global Market Information      ,1992
Tower Automotive               ,1993
UniMark Group                  ,1992
Trigen Energy                  ,1986
AmeriLink                      ,1993
Carlyle Golf                   ,1992
PMT Services                   ,1984
Sirena Apparel Group           ,1987
AccuStaff                      ,1992
Marker International           ,1990
Weeks                          ,1965
US-China Industrial Exchange   ,1981
Fiberstars                     ,1985
Mississippi Chemical           ,1948
Team Rental Group              ,1992
Truck Components               ,1987
Target Technologies            ,1986
Inphynet Medical Management    ,1974
Futurebiotics                  ,1994
Comet Software International   ,1969
Loronix Information Systems    ,1987
Prime Management Group         ,1987
Wave Systems                   ,1988
Mountbatten                    ,1992
InControl                      ,1990
Aquagenix                      ,1993
CD Radio                       ,1990
Reliance Steel & Aluminum      ,1939
Macheezmo Mouse Restaurants    ,1986
Comcast UK Cable Partners      ,1992
National Diagnostics           ,1994
Tivoli Industries              ,1994
Business Objects               ,1989
Professional Sports Care       ,1991
Welcome Home                   ,1966
Aasche Transportation Services ,1994
Corporate Express              ,1985
First Merchants Acceptance     ,1991
Affiliated Computer Services   ,1988
Benson Financial               ,1986
Ernst Home Center              ,1893
IPC Information Systems        ,1973
Sterile Concepts Inc           ,1984
ADFlex Solutions               ,1993
Baby Superstore                ,1970
Laboratory Specialists         ,1994
Cinema Ride                    ,1993
OncorMed                       ,1993
Zeigler Coal Holding           ,1985
Featherlite Mfg                ,1988
Mattson Technology             ,1988
Tessco Technologies            ,1986
Protection One                 ,1991
Giant Cement Holding           ,1900
Metrologic Instruments         ,1968
Community Medical Transport    ,1988
Sugen                          ,1991
Central Tractor Farm & Country ,1960
US Xpress Enterprises          ,1989
Strouds                        ,1987
Meridian Sports                ,1994
Central European Media         ,1994
Clearnet Communications        ,1984
Micro Linear                   ,1983
Piercing Pagoda                ,1973
PRI Automation                 ,1972
CasTech Aluminum Group         ,1984
Sports Club                    ,1979
Lasergate Systems              ,1985
American Family Restaurants    ,1986
Equity Corp                    ,1990
Edelbrock                      ,1938
7th Level                      ,1993
Enteractive                    ,1993
FPA Medical Management         ,1994
Isolyser                       ,1987
Ortel                          ,1980
Solomon-Page Group             ,1993
Stratasys                      ,1989
US Diagnostic Labs             ,1993
WavePhore                      ,1983
Corvita                        ,1986
Aspen Technology               ,1981
Knight Transportation          ,1990
Owosso                         ,1994
Tower Semiconductor            ,1993
Wescast Industries             ,1946
Sinter Metals                  ,1991
Vista 2000                     ,1991
Epic Design Technology         ,1986
Covenant Transport             ,1994
Data Systems Network           ,1986
Duckwall-Alco Stores           ,1915
Hudson Technologies            ,1991
Haskel International           ,1946
Falcon Building Products       ,1929
OfficeMax                      ,1988
Chase Brass Industries         ,1917
Transport Corporation          ,1980
Young Broadcasting             ,1986
Specialty Teleconstructors     ,1981
Pinnacle Systems               ,1986
Digital Recorders              ,1983
Thompson PBE                   ,1989
Tele-Matic                     ,1986
Alabama National Bancorp       ,1986
Singing Machine                ,1994
Health Fitness Physical        ,1981
Capitol One Financial          ,1953
Enron Global Power             ,1994
Cannondale                     ,1971
"JP Foodservice, Inc.           ",1989
Orbit Semiconductor            ,1982
John Q Hammons Hotels          ,1959
Senior Tour Players            ,1994
Unitech Industries             ,1985
Sports Authority               ,1987
Family Golf Centers            ,1994
Quality Semiconductor          ,1988
Shiva                          ,1985
What A World!                  ,1993
Assisted Living Concepts       ,1994
Andyne Computing Limited       ,1976
ITI Technologies               ,1983
Physician Reliance Network     ,1993
Bridgeport Machines            ,1939
Veeco Instruments              ,1989
Cohesant Technologies          ,1959
Premier Laser Systems          ,1991
Flores & Rucks                 ,1994
Dove Audio Inc                 ,1985
Apollo Group                   ,1981
MedCath                        ,1988
SGS-Thomson Microelectronics   ,1987
EmCare Holdings                ,1974
Applix                         ,1983
Applied Voice Technology       ,1982
Micrel                         ,1978
Guidant Corporation            ,1972
American Bingo & Gaming        ,1994
Global Telecommunication       ,1992
Netcom On-Line Communications  ,1992
Security Dynamics Technologies ,1984
Universal Stainless & Alloy    ,1994
PriCellular                    ,1990
Bolle America                  ,1983
Trans World Gaming             ,1993
Microtec Research              ,1979
Stillwater Mining              ,1993
Universal Automotive           ,1994
Videonics                      ,1986
Crown Pacific Partners LP      ,1988
BTG                            ,1982
IWI Holding                    ,1975
Phamis                         ,1980
ITT Educational Services       ,1969
Mitcham Industries             ,1986
Orthodontic Centers of America ,1994
Saint Andrews Golf             ,1984
Teletouch Communications       ,1976
Diasys                         ,1992
SunPharm                       ,1990
California Pro Sports          ,1993
Infosafe Systems               ,1991
Timeline                       ,1977
Nabisco Holdings               ,1900
SMC                            ,1986
Ariel                          ,1982
Insight Enterprises            ,1991
LL Knickerbocker               ,1985
Ostex International            ,1990
Renters Choice                 ,1986
Austins Steaks & Saloon        ,1992
Daisytek International         ,1982
Neopath                        ,1989
Tylan General                  ,1978
Brooks Automation              ,1978
Ultradata Systems              ,1989
Congoleum                      ,1886
Integrated Silicon Solutions   ,1988
Semitool                       ,1979
Technical Chemicals            ,1992
American Standard Companies    ,1929
Concentra                      ,1984
Sirrom Capital                 ,1992
Coin Bill Validator            ,1988
Advanced Voice Technologies    ,1983
Nickelodeon Theater Co         ,1989
Big Smith Brands               ,1979
General Magic                  ,1990
Information Storage Devices    ,1987
PDG Remediation                ,1994
ProtoSource                    ,1988
Sims Communications            ,1991
Oak Technology                 ,1987
ADCO Technologies              ,1993
Dualstar Technologies          ,1994
Globalstar Telecommunications  ,1994
US Office Products             ,1994
STB Systems                    ,1981
Ampace                         ,1994
InTime Systems International   ,1993
MedPartners                    ,1993
Anicom                         ,1991
HCIA                           ,1985
Transaction Systems            ,1993
Sola International             ,1993
Toy Biz                        ,1990
ThrustMaster                   ,1990
Speedway Motorsports           ,1994
TGV Software                   ,1988
VIASOFT                        ,1993
P-COM                          ,1991
Software Artistry              ,1988
Dynamic World Distributors     ,1993
Dollar Tree Stores             ,1986
Riviana Foods Inc              ,1986
DSP Communications             ,1987
Interactive Flight             ,1994
PST Vans                       ,1984
EqualNet Holdings              ,1990
Fort Howard                    ,1919
Golf Training Systems          ,1991
Commonwealth Aluminum          ,1914
Tivoli Systems                 ,1989
Horizon Mental Health          ,1989
National Instruments           ,1976
Palmer Wireless                ,1922
ASM Lithography Holding        ,1984
Continental Circuits           ,1972
SDL                            ,1983
LifeRate Systems               ,1990
Uniroyal Chemical              ,1906
Remedy                         ,1990
CATS Software                  ,1986
Circle K                       ,1951
Datastream Systems             ,1986
ACT Manufacturing              ,1992
Periphonics Corp               ,1969
Renaissance Solutions          ,1992
AmeriSource Health Corp        ,1988
Creative Computers             ,1987
Mustang Software               ,1988
Premisys Communications        ,1990
Boise Cascade Office Products  ,1964
Asia Pacific Res Intl Hldg Ltd ,1994
Aegis Consumer Funding Group   ,1989
Finlay Enterprises             ,1942
General Acceptance             ,1988
Hello Direct                   ,1987
Rainforest Cafe                ,1994
Katz Media Group               ,1994
PMI Group                      ,1980
Aid Auto Stores                ,1953
Expert Software                ,1992
Diamond Multimedia Systems     ,1982
Easco                          ,1919
Open Environment               ,1991
RTW                            ,1983
Taitron Components             ,1989
OMNI MultiMedia Group          ,1980
ANADIGICS                      ,1984
STAT Healthcare                ,1994
Shared Technologies Cellular   ,1989
Weitzer Homebuilders           ,1994
MarketLink                     ,1990
PACE Health Management         ,1987
Republic Engineered Steels     ,1989
Performance Systems            ,1988
Bell & Howell                  ,1907
ACT Networks                   ,1982
CRA Managed Care               ,1978
NetVantage                     ,1991
Tel-Com Wireless Cable TV      ,1993
Firefox Communications         ,1989
Image Sensing Systems          ,1985
Phoenix Gold International     ,1991
StorMedia                      ,1994
OccuSystems                    ,1991
Garden Ridge                   ,1979
R-B Rubber Products            ,1985
Electropharmacology            ,1990
AG Associates                  ,1981
ERD Waste                      ,1992
Garden Fresh Restaurant        ,1983
Opal                           ,1988
Intrav                         ,1959
Baan                           ,1995
HealthPlan Services            ,1970
Harmonic Lightwaves            ,1988
Interactive Group              ,1976
APPS Dental                    ,1978
Maxis                          ,1987
NexGen Inc                     ,1986
VideoServer                    ,1991
Borders Group                  ,1971
Hardinge Brothers              ,1900
Number Nine Visual Technology  ,1982
UUNet Technologies             ,1987
Reckson Associates Realty      ,1995
Computer Learning Centers      ,1987
Belmont Homes                  ,1987
FEI                            ,1971
US Order                       ,1990
ResMed                         ,1994
ArcSys                         ,1991
Med-Design                     ,1993
Sinclair Broadcast Group       ,1986
Socket Communications          ,1992
Trump Hotels & Casino Resorts  ,1995
Yes Entertainment              ,1992
American Radio Systems         ,1993
Oravax                         ,1990
Sitel                          ,1985
Teltrend                       ,1979
American Oncology Resources    ,1992
Western Power & Equipment      ,1992
Serologicals                   ,1995
TranSwitch                     ,1988
Westinghouse Air Brake         ,1989
Datalogix International        ,1981
MySoftware                     ,1986
View Tech                      ,1992
Chicago Miniature Lamp         ,1992
Eagle Point Software           ,1983
Brockway Standard Holdings     ,1901
CP Clare                       ,1937
EchoStar Communications        ,1993
HNC Software                   ,1986
Studio Plus Hotels             ,1985
Natural Health Trends          ,1988
VidaMed                        ,1995
HighwayMaster Communications   ,1992
Spine-Tech                     ,1988
Physicians Resource Group      ,1993
Microfield Graphics            ,1984
Global DirectMail              ,1972
Business Resource Group        ,1986
Spyglass                       ,1990
BDM International              ,1959
Integrated Communication       ,1993
InStent                        ,1991
Paradigm Technology            ,1987
SOS Staffing Services          ,1972
Coda Music Technologies        ,1990
Inference                      ,1982
MobileMedia                    ,1986
Rattlesnake Holding            ,1993
Dendrite International         ,1987
Discreet Logic                 ,1991
Metra Biosystems               ,1992
Seer Technologies              ,1990
Telesoft                       ,1982
Just Like Home                 ,1994
Legato Systems                 ,1988
MIDCOM Communications          ,1993
OnTrak Systems                 ,1985
Tele-Communications Intl       ,1985
MEMC Electronic Materials Inc  ,1984
"BNCcorp, Bismarck, ND          ",1987
Martin Industries              ,1905
Sel-Leb Marketing              ,1985
Novadigm                       ,1992
BT Office Products             ,1984
"CET Environmental Services,    ",1988
PixTech                        ,1993
Programmer's Paradise          ,1982
Teekay Shipping                ,1979
CSI Computer Specialists       ,1988
Play By Play Toys & Novelties  ,1992
Exogen                         ,1993
IMNET Systems                  ,1992
Integrated Measurement Systems ,1983
Rockford Industries            ,1984
Unison Software                ,1978
Veritas Music Entertainment    ,1994
Align-Rite International       ,1995
MS Financial                   ,1984
RF Management                  ,1986
MiniMed                        ,1993
Tarrant Apparel Group          ,1988
DLB Oil & Gas                  ,1991
RSI Systems                    ,1993
Red Lion Hotels                ,1994
Logans Roadhouse               ,1991
RenaissanceRe Holdings         ,1993
Across Data Systems            ,1988
Astea International            ,1979
Cybex                          ,1947
Forcenergy Gas Exploration     ,1982
GSE Systems                    ,1994
TelCom Semiconductor           ,1993
Falcon Drilling                ,1991
KeraVision                     ,1986
Percon Acquisition             ,1990
Jayhawk Acceptance             ,1993
Smartflex Systems              ,1985
Sequana Therapeutics           ,1993
Pet Practice                   ,1993
Orion Network Systems          ,1982
ON Technology                  ,1985
Pure Software                  ,1991
Union Acceptance               ,1993
Ostech                         ,1993
Owen Healthcare Inc            ,1970
Arcadian                       ,1992
ThermoSpectra                  ,1994
Ambassadors International      ,1967
Legal Research Center          ,1988
Moovies                        ,1992
National Medical Financial     ,1994
Kyzen                          ,1990
Summit Medical Systems         ,1986
USA Detergents                 ,1988
ANSAN                          ,1992
Netscape Communications        ,1994
WFS Financial                  ,1988
Oakley                         ,1975
UCAR International             ,1986
Community Care of America      ,1993
Pudgie's Chicken               ,1993
US Bridge of NY                ,1990
Atlas Air                      ,1992
Digital Descriptor Systems     ,1989
HPR                            ,1987
Sunstone Hotel Investors       ,1994
Videolan Technologies          ,1994
VictorMaxx Technologies        ,1994
Bureau of Electronic           ,1988
Cellegy Pharmaceuticals        ,1989
Desktop Data                   ,1988
Kushi Macrobiotics             ,1994
New Paradigm Software          ,1993
AVX                            ,1972
Cutter & Buck                  ,1990
NHP                            ,1990
Oncorx                         ,1992
Romac International            ,1994
Vantive                        ,1990
Solar-Mates                    ,1976
MVSI                           ,1994
Redhook Ale Brewery            ,1981
Mackie Designs                 ,1988
Euphonix                       ,1988
Harbinger                      ,1988
Mako Marine International      ,1994
Plasma & Materials Tech        ,1985
Com/Tech Communication         ,1982
Computron Software             ,1973
Computational Systems          ,1984
Ballantyne of Omaha            ,1932
Triathlon Broadcasting         ,1995
Carbide/Graphite Group         ,1988
Risk Capital Holdings          ,1995
Boyds Wheels                   ,1988
Smith Micro Software           ,1983
Pepsi-Cola Puerto Rico         ,1967
NetStar                        ,1990
Pediatrix Medical Group        ,1980
Premenos Technology            ,1995
Ariely Advertising             ,1965
Tel-Save Holdings              ,1989
Core Laboratories              ,1936
Midwest Express Holdings       ,1984
Alternate Postal Delivery      ,1988
General Scanning               ,1968
Mail-Well                      ,1993
PanAmSat                       ,1994
United Dental Care             ,1985
Personnel Group of America     ,1989
Renaissance Hotel Group        ,1995
Accom                          ,1995
Tera Computer                  ,1987
AHI Healthcare Systems         ,1987
CheckFree                      ,1981
Computer Management Sciences   ,1983
DepoTech                       ,1989
Eastbay                        ,1980
Mizar                          ,1995
Zycon                          ,1976
Microwave Power Devices        ,1991
Simware                        ,1982
Greenman Technologies          ,1992
Prudential Reinsurance         ,1993
Data Documents                 ,1988
First Investors Financial      ,1989
ESS Technology                 ,1970
Gadzooks                       ,1982
LeCroy                         ,1964
Myriad Genetics                ,1991
TST/Impreso                    ,1976
World Airways                  ,1948
NUR Advanced Technologies      ,1987
Verity                         ,1995
Vodavi Technology              ,1983
SpeedFam International         ,1959
Allmerica Financial            ,1945
Central Parking                ,1966
Union Pacific Resources Group  ,1969
APAC TeleServices              ,1972
Diamond Offshore Drilling      ,1989
Elantec Semiconductor          ,1983
Food Court Entertainment       ,1992
Gemstar International Group    ,1992
William Greensberg Jr Desserts ,1946
GT Bicycles                    ,1979
Oak Hill Financial             ,1902
SCP Pool                       ,1993
Sonus Pharmaceuticals          ,1995
American Coin Merchandising    ,1988
Rick's Cabaret International   ,1982
Rom Tech                       ,1992
Logic Works                    ,1985
Meadow Valley Corporation      ,1994
ARV Assisted Living            ,1985
Telechips                      ,1991
ADE                            ,1967
ScanVec Co(1990)               ,1990
Tegal                          ,1989
Wireless One                   ,1995
Gliatech                       ,1988
Jerry's Famous Deli            ,1978
Enterprise Systems             ,1981
RadiSys                        ,1987
Gucci Group                    ,1923
Intimate Brands                ,1945
Argyle Television Holding      ,1988
Imperial Thrift & Loan         ,1973
Pharmacyclics                  ,1991
Donaldson Lufkin & Jenrette    ,1959
Etec Systems                   ,1989
Sterling House                 ,1991
Applied Computer Technology    ,1989
DataWorks                      ,1984
Nimbus CD International        ,1992
Winfield Capital               ,1972
Sheridan Healthcare            ,1994
Vanguard Airlines              ,1994
Total Renal Care Holdings      ,1994
Cooper & Chyan Technology      ,1989
Gaylord Companies              ,1977
K-III Communications           ,1991
Cardiometrics                  ,1985
Cytoclonal Pharmaceutics       ,1991
Clarify                        ,1990
Henry Schein                   ,1992
US Opportunity Search          ,1989
Arbor Software                 ,1991
Perclose                       ,1992
ROSS Technology                ,1988
Sano                           ,1991
Venture Seismic                ,1984
Pete's Brewing                 ,1986
COREStaff                      ,1980
Sandisk                        ,1988
GelTex Pharmaceuticals         ,1992
Home Health Corp of America    ,1982
Investors Financial Services   ,1995
Meta Software Inc              ,1980
Eckler Industries              ,1973
Fractal Design                 ,1991
Medwave                        ,1984
National Surgery Centers       ,1991
Sync Research                  ,1978
Visio                          ,1989
ADAM Software                  ,1990
Asta Funding                   ,1994
New Horizon Kids Quest         ,1992
Applied Microsystems           ,1979
Lumisys                        ,1987
Lexmark International Group    ,1990
Advent Software                ,1993
AMX                            ,1992
Catalyst International         ,1979
Photon Dynamics Inc            ,1986
CFC International              ,1986
First Commonwealth             ,1967
IDX Systems                    ,1969
Scopus Technology              ,1991
Estee Lauder                   ,1946
Waters                         ,1991
Advanced Energy Industries     ,1981
CORT Business Services         ,1993
Pen Interconnect               ,1985
Secure Computing               ,1989
Software 2000                  ,1981
Simon Transportation Services  ,1972
Smart Modular Technologies     ,1988
Canadian National Railway      ,1918
Consolidated Delivery          ,1994
Multimedia Concepts            ,1994
Italian Oven                   ,1989
Boston Beer                    ,1984
Emeritus                       ,1993
Imperial Credit Mortgage Hldgs ,1986
Meadowbrook Insurance Group    ,1985
Amerin                         ,1992
Intevac Industries             ,1990
Lasalle Re Holdings            ,1993
Network Appliance              ,1992
PathoGenesis                   ,1991
Silicon Storage Technology     ,1989
Western Fidelity Funding       ,1990
Yieldup International          ,1993
Big Flower Press Holdings Inc. ,1993
Buckeye Cellulose Corp         ,1905
Gynecare                       ,1994
Parexel International          ,1983
BAB Holdings                   ,1992
Carnegie Group Inc             ,1983
Pixar                          ,1985
Northwest Pipe                 ,1966
Eagle USA Airfreight           ,1984
Lernout en Hauspie             ,1987
Objective Systems Integrators  ,1989
Raytel Medical                 ,1981
Westell Technologies Inc       ,1980
Benchmarq Microelectronics     ,1989
META Group                     ,1989
BE Semiconductor Industries    ,1973
Help At Home                   ,1995
Pharmacopeia                   ,1993
Quintel Entertainment          ,1993
Terrace Holdings               ,1988
Western Pacific Airlines       ,1994
Allegro New Media              ,1992
International Cutlery          ,1994
Kinetiks.com                   ,1995
Learning Tree International    ,1976
Mecon                          ,1985
Spacetec IMC                   ,1991
Cronos                         ,1978
Neuromedical Technologies Inc  ,1988
Citrix Systems                 ,1989
Advanced Lighting Technologies ,1995
Cardiovascular Diagnostics     ,1985
Visioneer                      ,1992
AML Communications             ,1986
Ascent Entertainment Group     ,1995
Kiddie Academy International   ,1981
Molecular Devices              ,1983
MetaTools                      ,1987
Physio-Control International   ,1955
Ecotyre Technologies           ,1994
Hart Brewing                   ,1984
Kensey Nash                    ,1984
Morrow Snowboards              ,1989
Smith-Midland                  ,1994
Synaptic Pharmaceutical        ,1987
SQA                            ,1990
Extended Stay America          ,1995
Bristol Hotel                  ,1981
CapMAC Holdings                ,1987
Atlantic Pharmaceuticals       ,1993
CKS Group                      ,1994
Ergo Science                   ,1990
Fuisz Technologies             ,1988
GT Interactive Software        ,1992
SC & T International           ,1993
TechForce                      ,1993
Tollgrade Communications       ,1986
Triple P                       ,1995
Blonder Tongue Laboratories    ,1965
MSC Industrial Direct          ,1992
United Transnet                ,1937
Adept Technology               ,1983
Schlotzsky's                   ,1971
Widecom Group                  ,1990
Zoran                          ,1981
GCR Holdings                   ,1993
NuCo2                          ,1990
Unison Healthcare              ,1992
Elcom International            ,1992
Global Pharmaceutical          ,1995
Guarantee Life Companies       ,1994
Hungarian Broadcasting         ,1994
AMISYS Managed Care Systems    ,1976
Celeritek                      ,1984
Castelle                       ,1987
Cityscape Financial            ,1985
DeltaPoint                     ,1989
Electrostar                    ,1994
ForeFront Group                ,1990
Sterling Vision                ,1992
Regent Assisted Living         ,1977
Spacehab                       ,1984
Home Centers (DIY)             ,1992
Vacation Break USA             ,1985
Complete Management            ,1993
Sagebrush                      ,1990
Nor'Wester Brewing             ,1992
Red Brick Systems              ,1990
FYI                            ,1994
Open Text                      ,1991
PhyMatrix Corp                 ,1995
Alrenco                        ,1980
Bell Technology Group          ,1989
ESC Medical Systems            ,1992
Hybridon                       ,1989
K&G Men's Center               ,1989
Pharmaceutical Product Dev     ,1989
Performance Technologies       ,1981
Wilmar Industries              ,1978
World Color Press              ,1903
Neopharm                       ,1990
Omnipoint                      ,1987
Aavid Thermal Technologies     ,1964
Heartstream                    ,1992
Red Roof Inns                  ,1972
Connective Therapeutics        ,1993
Iron Mountain                  ,1951
US Satellite Broadcasting      ,1981
Conceptus                      ,1992
Childtime Learning Centers     ,1967
Intercardia                    ,1994
New World Coffee               ,1992
RAC Financial Group            ,1994
Remec                          ,1983
Unidigital                     ,1989
Vetco                          ,1990
Realco                         ,1983
Arthrocare                     ,1993
Documentum                     ,1990
American Bancshares            ,1995
Digital Generation Systems     ,1991
Raptor Systems                 ,1991
Renal Care Group               ,1995
3-D Geophysical                ,1995
VocalTec                       ,1989
EndoVascular Technologies      ,1989
Globe Business Resources       ,1971
TresCom International          ,1993
ContiFinancial                 ,1995
TB Wood's                      ,1957
CellularVision USA             ,1988
Rural Cellular                 ,1991
Whitewing Labs                 ,1993
Chancellor                     ,1993
Physician Support Systems      ,1991
Digital Data Networks          ,1988
NCS HealthCare                 ,1986
Cotelligent Group              ,1993
Dignity Partners               ,1985
Landec                         ,1986
Optical Sensors                ,1989
VitalCom                       ,1971
XeTel                          ,1984
CyberCash                      ,1994
Neose Technologies             ,1989
SCB Computer Technology        ,1976
Ultradata                      ,1981
COHR Inc                       ,1985
Cylink                         ,1983
Gensym                         ,1986
Iridex                         ,1989
Impath                         ,1988
Mossimo                        ,1987
Columbus McKinnon Corp         ,1875
Ultrafem                       ,1990
Preferred Networks             ,1991
Sonics & Materials             ,1969
Trident International          ,1989
Thermo-Mizer Environmental     ,1978
Revlon                         ,1936
Alexion Pharmaceuticals        ,1992
CSG Systems International      ,1982
Engineering Animation          ,1988
Integrated Packaging Assembly  ,1992
RISCORP                        ,1988
Indus Group                    ,1988
OrCAD                          ,1991
PIA Merchandising              ,1943
Berg Electronics               ,1992
PowerCerv                      ,1995
ChiRex                         ,1990
Data Processing Resources      ,1984
Health Systems Design          ,1988
Premiere Technologies          ,1991
Helisys                        ,1985
IPC Holdings                   ,1993
Sterling Commerce              ,1975
Cytyc                          ,1987
Superior Services              ,1992
Caribiner International        ,1989
Vanstar                        ,1982
Forte Software                 ,1991
XYLAN                          ,1993
Ocal                           ,1986
Platinum Entertainment         ,1991
Supergen                       ,1991
HMT Technology                 ,1989
Hub Group                      ,1971
Isocor                         ,1991
Innotech                       ,1988
MindSpring Enterprises         ,1994
Prism Solutions                ,1991
IDT                            ,1995
Individual                     ,1989
JDA Software Group             ,1995
ThermoQuest                    ,1981
Biofield                       ,1987
Elamex                         ,1990
EuroMed                        ,1994
Gateway Data Sciences          ,1985
Semiconductor Laser Intl       ,1993
Dawson Production Services     ,1951
Logal Educational Software     ,1985
First USA Paymentech           ,1985
AlphaNet Solutions             ,1984
Analogy                        ,1985
Cimatron                       ,1982
Eagle River Interactive        ,1994
Intelligent Medical Imaging    ,1989
Wanderlust Interactive         ,1994
Smartserv Online               ,1993
Workgroup Technology           ,1992
Intelliquest Information Grp   ,1985
Belco Oil & Gas                ,1996
Katz Digital Technologies      ,1986
Onyx Acceptance                ,1993
Party City                     ,1990
Profit Recovery Group          ,1990
May & Speh                     ,1947
Penske Motorsports             ,1995
Thermo Sentron                 ,1953
Bacou USA                      ,1993
FemRx                          ,1992
GalaGen                        ,1992
PCD                            ,1976
Century Aluminum               ,1989
Segue Software                 ,1988
Tadiran Telecommunications     ,1982
Barnett                        ,1914
Houghten Pharmaceuticals       ,1991
Lycos                          ,1995
Arterial Vascular Engineering  ,1991
Bonded Motors                  ,1971
KVH Industries                 ,1978
Microware Systems              ,1977
Sipex                          ,1965
York Group                     ,1990
Lucent Technologies            ,1925
Ansoft                         ,1984
DecisionOne                    ,1971
Housecall Medical Resources    ,1995
Sapient                        ,1991
Excite Inc                     ,1994
Cost Plus                      ,1958
Praegitzer Industries          ,1981
Parts Source                   ,1992
Qualmark                       ,1991
Batteries Batteries            ,1983
Universal Display              ,1985
Applewoods                     ,1978
Ribozyme Pharmaceuticals       ,1992
Worldtalk Communications       ,1992
Yahoo!                         ,1995
Terra Nova(Bermuda)Holdings    ,1969
Applied Graphics Technologies  ,1995
Walsh International            ,1988
Kentek Information Systems     ,1981
Suiza Foods                    ,1974
CompuServe                     ,1969
CardioThoracic Systems         ,1995
LanVision Systems              ,1989
