name,foundingDate
MICOM SYSTEMS                  ,1973
FAFCO                          ,1972
FIRST MATAGORDA                ,1978
ROLFITE COMPANY                ,1970
TEMPLETON ENERGY               ,1981
UNITED MEDICAL                 ,1972
HBO & COMPANY                  ,1974
ALLEGHENY & WESTERN            ,1981
KELLY-JOHNSTON ENTERPR         ,1977
LIEBERT                        ,1965
ZONIC                          ,1970
UNIVERSAL HEALTH SVCS.         ,1978
ODETICS                        ,1969
COMAIR                         ,1977
OMNICARE                       ,1977
AMPLICA                        ,1972
COMTEX SCIENTIFIC              ,1980
BIOSEARCH MEDICAL              ,1975
BEDFORD COMPUTER               ,1975
GREAT EASTERN ENERGY           ,1978
ICO                            ,1970
SEIS PROS                      ,1977
MONOCLONAL ANTIBODIES          ,1979
GEOPHYSICAL FIELD SURV         ,1972
PACO PHARMACEUTICAL            ,1974
PANSOPHIC SYSTEMS              ,1969
TECHAMERICA GROUP              ,1971
SYSTEMATICS                    ,1967
BELL PETROLEUM                 ,1969
GREAT OUTDOOR AM ADVEN         ,1974
SOUTHERN MEDIC & PHARM         ,1979
INTEGRITY FIN'L GROUP          ,1968
NCA                            ,1970
SOFTECH                        ,1969
JEFFERSON-WILLIAMS             ,1974
STAN WEST MINING               ,1979
BOLT TECHNOLOGY                ,1962
CARDILLO TRAVEL SYSTMS         ,1935
DATA MEASUREMENT               ,1962
PRAB ROBOTS                    ,1961
HOME DEPOT                     ,1978
SWITCHCO                       ,1981
CYCARE SYSTEMS                 ,1969
SEAGATE TECHNOLOGY             ,1978
ASK COMPUTER SYSTEMS           ,1974
CORVUS SYSTEMS                 ,1979
CIPHER DATA PRODUCTS           ,1968
RIO GRANDE DRILLING            ,1978
VECTOR GRAPHIC                 ,1976
CARL KARCHER                   ,1966
PIZZA VENTURES                 ,1978
SIPPICAN OCEAN SYSTEMS         ,1958
GARCIA'S OF SCOTTSDALE         ,1979
INSITUFORM EAST                ,1970
DATAPOWER                      ,1969
INT'L GAME TECHNOLOGY          ,1978
COLLAGEN                       ,1975
FONAR                          ,1978
KENTUCKY HORSE CENTER          ,1981
HORNBECK OFFSHORE SVS          ,1978
HYBRITECH                      ,1978
SEISDATA SERVICES              ,1977
NAUGLE'S                       ,1965
DALE ELECTRONICS               ,1951
UNITED CABLE TV DENVER         ,1981
METRO AIRLINES                 ,1969
COMPUTONE SYSTEMS              ,1965
GULF NUCLEAR                   ,1971
INSTACOM                       ,1975
PETROSYSTEMS                   ,1981
BRACKEN EXPLORATION            ,1975
HINDERLITER ENRGY              ,1950
MONCHIK-WEBER                  ,1970
COM SYSTEMS                    ,1975
SYSCON                         ,1966
VISUAL TECHNOLOGY              ,1978
COMMUNICATIONS SYSTEMS         ,1969
ALEXANDER ENERGY               ,1980
UNITED STATIONERS              ,1922
UNIMATION                      ,1962
EIKONIX                        ,1968
HEALTHDYNE                     ,1970
COMPUTER ASSOCIATES            ,1974
H&H OIL TOOL                   ,1953
A.H. BELO                      ,1926
GANDALF TECHNOLOGY             ,1971
ADVANCED FUEL SYSTEMS          ,1980
AVIATION GROUP                 ,1977
HEALTH CARE & RETIRMNT         ,1944
NUCLEAR SUPPORT SVS.           ,1973
POLICY MANAGEMENT SYS.         ,1910
SUMMIT OILFIELD                ,1979
ESSEX                          ,1969
LEXIDATA                       ,1974
COMPUTER MEMORIES              ,1979
ELAN PHARM                     ,1981
INT'L ROBOMATION               ,1980
GENERAL PRODUCTION             ,1980
CSP INC                        ,1968
CRIME CONTROL                  ,1977
LTX CORP                       ,1976
TECH FOR COMM                  ,1968
EMC INSURANCE                  ,1974
VORTEC CORP                    ,1964
COLLABORATIVE                  ,1961
HOME HEALTH CARE               ,1979
KASLER CORP                    ,1947
LAIDLAW IND                    ,1981
SYNTREX INC                    ,1979
CASTLE ENTERTAINMENT           ,1981
GODFATHERS PIZZA               ,1976
SPACE MICROWAVE                ,1969
COMPUTER INPUT                 ,1969
REXON BUSINESS                 ,1978
UNITED BANKERS                 ,1977
DATASWITCH                     ,1977
TCA CABLE TV                   ,1981
COMMUN GROUP                   ,1968
CONVERGENT TECH                ,1979
TECHNICOM INT'L                ,1981
BPI SYSTEMS                    ,1979
DIAGNOSTIC PRODUCTS            ,1971
MOLECULAR GENETICS             ,1952
INTERMETRICS                   ,1969
MULTI-TECH                     ,1981
TERA CORP                      ,1974
RYAN'S FAMILY                  ,1977
SUPER SKY INT'L                ,1970
ATLANTIC SE AIR                ,1979
CPI CORP                       ,1979
FOSTER MEDICAL                 ,1980
ENVIRONMENTAL TESTING          ,1981
ELECTRONIC MAIL                ,1980
UNIVERSAL MONEY                ,1981
VICORP RESTAURANTS             ,1959
FAMILY ENTERTAINMENT           ,1980
NORTH FORK                     ,1981
ELECTRONIC THEATRE             ,1980
ELEC OF ISRAEL                 ,1961
PSYCH SYSTEMS                  ,1977
GENEX CORP                     ,1977
ON LINE SOFTWARE               ,1969
BIOMET INC                     ,1977
TANO CORP                      ,1961
GOTT CORP                      ,1916
INTECOM INC                    ,1980
SIZZLER RESTAURANTS            ,1967
MERRIMAC INDUSTRIES            ,1954
SYSTEMS & COMPUTERS            ,1968
AARON RENTS                    ,1962
ALTOS COMPUTERS                ,1977
TACO VIVA                      ,1968
LEE DATA                       ,1979
TRIANGLE MICROWAVE             ,1977
AREA COMMUNICATION             ,1971
QUALITY SYSTEMS                ,1974
PATIENT TECH                   ,1981
ARGOSYSTEMS                    ,1969
PAR TECHNOLOGY                 ,1968
DIONEX CORP                    ,1968
RAYMOND ENGINEERING            ,1938
UNITED ED AND SFTWRE           ,1967
HOGAN SYSTEMS                  ,1977
QUANTUM CORP                   ,1980
CENTOCOR INC                   ,1979
NEWAIR FLIGHT                  ,1962
GD RITZY'S                     ,1979
GENERAL PHYSICS                ,1966
PERCEPTRONICS                  ,1969
HARRIS & PAULSON               ,1977
PHARMACONTROL                  ,1979
SIGMA RESEARCH                 ,1974
BIOSTIM                        ,1979
PHOENIX AMERICAN               ,1972
MGM/UA HOME ENTER              ,1982
LASER PHOTONICS                ,1980
MED-CHEM PRODUCTS              ,1970
QUALITY MICRO SYSTEMS          ,1977
MID-STATE FEDERAL              ,1934
POREX TECHNOLOGY               ,1961
"COOPERVISION, INC.             ",1972
"ROYALE AIRLINES, INC.          ",1965
POLYMERIC RESOURCES            ,1982
COOK DATA SERVICES             ,1979
GALILEO ELECTRO-OPTIC          ,1959
GUILFORD INDUSTRIES            ,1975
"U.S. TELEPHONE, INC.           ",1979
U.S. HEALTH CARE               ,1976
DIGITAL COMMUNICATIONS         ,1972
REHAB HOSPITAL SERVICE         ,1979
