Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Bahamas, The",BHS,1651.459295,1752.953116,1867.124019,1994.540294,2144.907586,2322.975639,2556.868857,2804.669821,3215.44777,3179.238996,3297.923125,3322.574661,3696.642595,3416.586979,3156.468059,3328.58126,3617.122739,4130.791867,5531.989555,6338.649805,6622.439546,7165.167165,7695.0405,8873.80782,9888.615773,10339.34793,11150.50667,11381.54586,12157.40303,12350.88048,11915.49663,11683.70932,11405.17512,11815.67689,12244.2421,12722.17091,17295.46968,18465.13938,20515.03193,21250.58185,21506.74411,22514.94472,22017.70778,22005.0031,23416.90369,23733.80768,24321.06511,23674.14021,22060.92098,21881.08394,21490.35708,21908.28046,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.1708414,530.1264167,799.3072569,1038.410242,1130.706392,1248.86054,1435.957686,1481.945715,1706.501954,2148.484346,2578.738087,2821.78775,3199.896836,3949.842081,4802.466744,4433.146179,4361.877138,4754.074234,4555.64457,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.740304,1747.438671,1666.227513,1590.035409,1460.017544,1370.67271,1452.447002,1396.502166,1511.770268,1209.614881,1273.049124,1244.441997,1479.465321,1819.479028,2378.374894,3126.367778,3848.596299,4735.953138,6377.359692,5182.630404,5818.854859,6784.711838,6685.018749,
Belize,BLZ,316.417307,327.1166456,336.9415831,351.1653323,377.5872027,406.1091238,420.4057604,386.953247,396.6576424,435.7011786,474.4480222,519.5716725,605.9334425,786.0750611,885.9779086,717.0507882,858.8155426,980.7731054,1074.249158,1351.013867,1307.211688,1183.183936,1212.938005,1315.313517,1268.221398,1343.87515,1587.08761,1760.142198,1980.443785,2202.322471,2323.903299,2658.592253,2821.084837,2870.106012,2995.872536,3019.523641,2994.261004,3060.52644,3159.699792,3486.164318,3555.660142,3704.536765,3833.424942,3991.284334,4097.528685,4363.854688,4509.322283,4665.740059,4446.607489,4529.885449,4720.816998,,
Bermuda,BMU,1961.538169,2020.385965,2020.265248,2199.727007,2282.216546,2630.850466,2982.749704,2830.188679,3053.703704,3387.272727,3866.300366,4343.173432,5009.29368,5853.932584,6509.433962,7261.278195,8370.786517,8876.865672,9613.3829,11218.21782,13425.97697,14166.17129,15902.02038,17469.82557,18269.53552,20450.66453,22411.79567,24253.17552,25517.92172,26841.51974,27700.30952,28669.68226,30900.69489,31476.06312,33989.72236,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,83912.6978,90849.58698,93605.74817,88463.31282,88207.32756,85973.15842,84460.32775,
Bolivia,BOL,178.6670557,191.0530559,201.1678703,221.6076527,242.2988931,258.9901382,275.9853822,226.042366,234.2919252,241.1932419,253.4997481,283.9378101,278.1858344,451.3357573,504.3222286,559.3622234,645.2329056,733.7970594,843.1610774,845.1427662,1071.763988,993.9185343,940.9966975,1045.652331,890.1661508,640.2163312,686.7486812,709.3484238,710.7025209,716.4482873,768.0698806,792.3110302,786.3573253,801.366681,879.4821452,947.4825942,993.3838346,1042.610578,995.512551,988.5332893,939.1453811,893.9468885,896.3721252,954.9220895,1020.790305,1203.254183,1355.879434,1695.55733,1735.14337,1934.675258,2319.608523,2575.683695,
Brazil,BRA,203.190475,257.8233014,289.0583275,258.6279445,258.2388961,312.0633232,343.5263863,370.7245833,399.7325007,440.6354471,499.9036829,580.6711362,767.9947829,994.7260068,1143.132218,1377.857234,1552.781332,1728.643262,1891.705908,1930.538471,2115.074377,2208.832593,1558.418524,1567.315607,1636.601162,1928.720174,2074.409516,2287.237001,2893.657808,3086.915491,2677.149908,2526.336624,2791.518675,3426.101824,4749.814207,5107.79392,5219.098144,4979.144846,3411.865896,3694.462668,3128.144846,2810.695347,3039.671627,3607.191571,4739.305437,5787.975574,7194.078944,8622.708675,8373.339742,10978.09355,12575.97941,11339.52111,
Barbados,BRB,402.4906514,416.9630918,467.1251249,462.2312581,487.4031854,523.9048838,579.8031424,579.3322278,649.6129249,760.6363362,850.5250012,966.9243931,1171.988007,1392.876764,1637.032381,1767.984643,2003.417629,2233.013285,2701.8387,3458.576329,3792.410471,3945.329738,4168.858627,4521.969509,4710.679783,5149.99825,5647.816872,5984.123631,6593.031015,7801.917838,7714.460431,7475.772428,7818.416071,8197.252294,8595.253063,9139.897886,9634.310502,10831.892,11314.07065,11675.2124,11600.43385,11756.28144,12077.80124,12893.59123,14224.98245,15691.84826,16335.95992,16358.04693,16460.75712,15812.27978,15503.32855,14917.14951,
Brunei Darussalam,BRN,,,,,1112.414117,1235.651484,1233.96153,1360.960738,1301.50801,1380.52328,1455.51209,1909.49929,2925.150979,6953.804955,7265.980718,8507.316435,9968.594512,10765.7372,15011.29686,25531.47107,21926.66953,20795.85442,18227.91581,17440.22449,15798.04862,10280.99025,11672.34551,11083.95007,11954.16084,13702.43034,14003.8552,15384.36828,14681.48324,14223.25907,16047.36235,16910.46883,16770.78377,12771.0228,14175.61117,18086.60407,16516.83677,16868.3921,18541.92453,21819.28674,25913.57837,30613.27687,32108.9238,37093.9909,27212.05637,30880.34486,40244.31182,41126.61284,
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,328.6612555,345.1965495,342.6992029,372.0965423,370.9007042,367.0105548,415.7305534,505.1606106,548.719396,521.1331186,559.5781422,467.4584104,474.7159941,453.2065314,529.3352565,595.2671097,617.2933358,702.2302775,706.2562388,763.828973,778.1664454,820.0560126,897.3943459,1009.155195,1108.518343,1258.990995,1348.730837,1760.60121,1816.751008,1795.047501,2211.232907,2513.936759,2398.905819,
